rocky_id,x,y,z,nx,ny,nz,angle
1,0.07678294493488039,-0.013821839415914436,0.06454302344918272,0.9743517319686873,-0.0,0.22503044773901007,1.363040482183895
2,0.07195332502216682,0.021097944904925902,0.13427673741654023,-0.15230465040147612,0.0,0.9883335942211436,2.2553797193090666
3,0.020043046308642367,-0.019020161289653965,0.17260133460783134,0.9666777860447532,-0.0,0.2559962069398971,2.804472517099087
4,0.056370279550404905,0.006439042904438593,0.01378691329982892,-0.9769028577180382,0.0,0.21368389406394342,2.02062370571102
5,0.061601338517213035,0.024478506574997727,0.03208093754111065,0.7555205991017349,-0.0,0.6551248921640481,1.2500144680732341
6,0.07814914508490069,-0.023960782794155186,0.09376930015447478,0.9973144098847178,0.0,-0.07323911411463994,1.4104346172108597
7,0.041096224398121856,-0.02365347028279977,0.04642988859063486,-0.14800352265165884,0.0,0.9889868337256568,0.7627067221901617
8,0.038361773901881877,-0.011280955359864307,0.18768248224457382,0.5719649911338319,-0.0,0.8202780314730339,3.0133798704956902
9,0.039039346247187544,0.014287592587745371,0.16965837605616532,0.5078995679313206,-0.0,0.8614162924481855,1.4191096730170587
10,0.06751528690754559,0.022451044501960712,0.006867309408337462,-0.9743923991518787,0.0,0.22485429165360835,2.7039000825469626
11,0.024708265081951734,-0.0027763598587043667,0.10611933344629028,0.03305031591621168,-0.0,0.9994536890811092,2.279179650004499
12,0.018304351131678904,-0.01410120381220017,0.06878598845504408,0.9773000995218917,0.0,-0.21185965985647393,1.5628348898849087
13,0.018067014781829628,0.019094464743704766,0.1268758392116563,-0.9741867059136187,0.0,0.2257437973038744,1.1622128344853724
14,0.057175256457366166,-0.021204214813139395,0.18947668341013651,-0.992194238737862,0.0,-0.12470201528200807,0.9892993711991627
15,0.04236177532414051,-0.01132695181115755,0.047904386232509456,-0.9632384445139616,0.0,-0.2686479090004679,2.2864022663062156
16,0.1008808417625285,-0.018858905834745508,0.009928083123482352,-0.5166632249249677,0.0,0.8561887128490612,2.242825924063556
17,0.022100537137529117,0.007078702474398776,0.0638685153928111,0.8464786255795488,-0.0,0.5324227046595197,2.478372753331304
18,0.024647216798602878,0.026032430901296838,0.04159540085432917,-0.4821015669070942,0.0,-0.8761153344085039,1.9626088109543862
19,0.06745664490658454,-0.021601887259035946,0.18846255206198292,0.17799559243598956,-0.0,0.9840312846009324,0.82674499552702
20,0.058113486580101154,-0.02361568462296735,0.11105470783457633,0.7521745839368326,0.0,-0.6589638801022807,0.6540960783646806
21,0.03380793104069211,0.011081135554398826,0.14448757654042466,-0.8059843238285883,0.0,-0.5919368798635318,1.4056000407361096
22,0.07319904467664087,0.0021841438708816116,0.021173189941415753,0.3935657576365092,-0.0,0.9192964670964425,2.1083279898104124
23,0.014359357447439122,0.005140674506924637,0.10073805752454382,0.36034351698600436,0.0,-0.9328196769827259,2.101135278158615
24,0.024919722066143613,0.01990154018442146,0.17736229259017447,0.03855318547557368,-0.0,0.9992565495855836,2.2135726000231175
25,0.017496572158574048,-0.0001817468086895715,0.06362344286657454,0.9352051033071112,-0.0,0.35410650198539895,0.948346464387809
26,0.04971064825874575,0.007774226159256625,0.19140351892975216,-0.9565297732566219,0.0,-0.2916346907924971,1.3812085874230735
27,0.05326189128728174,9.772542245289739e-05,0.02570356452146455,-0.9996528227517683,0.0,0.02634831995444379,1.8139745690380369
28,0.024720430499784167,0.022349155474966364,0.1603147226186435,0.45508006455332134,-0.0,0.8904505235251113,1.5071810337035119
